No,Entidad,NICAP_Anterior,NICAP_Actual,Variacion,Categoria,Fuente_PDF
1,"LIBERTAD SERVICIOS FINANCIEROS, S.A. de C.V., S.F.P. */",131.4062%,132.6420%,1.24%,CATEGORÍA 1,ABR 2024.pdf
2,"UNAGRA, S.A. de C.V., S.F.P.",381.7171%,442.2595%,60.54%,CATEGORÍA 1,ABR 2024.pdf
3,"FINANCIERA SUSTENTABLE DE MÉXICO, S.A. de C.V., S.F.P. **/",131.0844%,139.3059%,8.22%,CATEGORÍA 1,ABR 2024.pdf
4,"ICTINEO PLATAFORMA S.A. de C.V., S.F.P.",2895.5230%,5539.8732%,2644.35%,CATEGORÍA 1,ABR 2024.pdf
5,"NU MEXICO FINANCIERA, S.A. de C.V., S.F.P.",301.0684%,281.7739%,-19.29%,CATEGORÍA 1,ABR 2024.pdf
6,"FINCOMÚN Servicios Financieros Comunitarios, S.A. de C.V., S.F.P.",274.8387%,273.9447%,-0.89%,CATEGORÍA 1,ABR 2024.pdf
7,"SFP PORVENIR S.A. de C.V., S.F.P.",8688.7640%,6976.7574%,-1712.01%,CATEGORÍA 1,ABR 2024.pdf
8,"FINANCIERA MÁS, S.A. de C.V., S.F.P.",2745.5864%,2870.6535%,125.07%,CATEGORÍA 1,ABR 2024.pdf
9,"FINANCIERA BROXEL, S.A. de C.V., S.F.P.",21385.0275%,407.1642%,-20977.8633%,CATEGORÍA 1,ABR 2024.pdf
10,"ACCIÓN Y EVOLUCIÓN, S.A. de C.V., S.F.P.",1320.4418%,1250.2301%,-70.21%,CATEGORÍA 1,ABR 2024.pdf
1,"LIBERTAD SERVICIOS FINANCIEROS, S.A. de C.V., S.F.P. */",132.1122%,139.6406%,7.53%,CATEGORÍA 1,AGOS 2024.pdf
2,"UNAGRA, S.A. de C.V., S.F.P.",367.0616%,349.1541%,-17.91%,CATEGORÍA 1,AGOS 2024.pdf
3,"FINANCIERA SUSTENTABLE DE MÉXICO, S.A. de C.V., S.F.P. **/",144.7854%,139.3523%,-5.43%,CATEGORÍA 1,AGOS 2024.pdf
4,"ICTINEO PLATAFORMA S.A. de C.V., S.F.P.",8182.5896%,59132.4842%,50949.89%,CATEGORÍA 1,AGOS 2024.pdf
5,"NU MEXICO FINANCIERA, S.A. de C.V., S.F.P.",279.4851%,264.5490%,-14.94%,CATEGORÍA 1,AGOS 2024.pdf
6,"FINCOMÚN Servicios Financieros Comunitarios, S.A. de C.V., S.F.P.",269.4660%,265.4205%,-4.05%,CATEGORÍA 1,AGOS 2024.pdf
7,"SFP PORVENIR S.A. de C.V., S.F.P.",8562.7942%,14917.3500%,6354.56%,CATEGORÍA 1,AGOS 2024.pdf
8,"FINANCIERA MÁS, S.A. de C.V., S.F.P.",2582.2100%,2705.8824%,123.67%,CATEGORÍA 1,AGOS 2024.pdf
9,"FINANCIERA BROXEL, S.A. de C.V., S.F.P.",350.9180%,311.4485%,-39.4695%,CATEGORÍA 1,AGOS 2024.pdf
10,"ACCIÓN Y EVOLUCIÓN, S.A. de C.V., S.F.P.",1163.9207%,164491.4098%,163327.4891%,CATEGORÍA 1,AGOS 2024.pdf
1,"LIBERTAD SERVICIOS FINANCIEROS, S.A. de C.V., S.F.P.",132.4898%,139.0134%,6.52%,CATEGORÍA 1,DIC 2024.pdf
2,"UNAGRA, S.A. de C.V., S.F.P.",288.0245%,286.3816%,-1.64%,CATEGORÍA 1,DIC 2024.pdf
3,"FINANCIERA SUSTENTABLE DE MÉXICO, S.A. de C.V., S.F.P.",139.6694%,134.9879%,-4.68%,CATEGORÍA 1,DIC 2024.pdf
4,"ICTINEO PLATAFORMA S.A. de C.V., S.F.P. */",NO SE PUEDE CALCULAR,NO SE PUEDE CALCULAR,N/A,NO SE PUEDE ASIGNAR,DIC 2024.pdf
5,"NU MEXICO FINANCIERA, S.A. de C.V., S.F.P.",245.0647%,239.9524%,-5.11%,CATEGORÍA 1,DIC 2024.pdf
6,"FINCOMÚN Servicios Financieros Comunitarios, S.A. de C.V., S.F.P.",258.9380%,259.8885%,0.95%,CATEGORÍA 1,DIC 2024.pdf
7,"SFP PORVENIR S.A. de C.V., S.F.P.",12218.3258%,13588.4995%,1370.17%,CATEGORÍA 1,DIC 2024.pdf
